video_id,title,channel_title,published_at,view_count,like_count,comment_count,duration,category_id
HR34chdPHXw,Jana Nayagan - Trailer Review Tamil | Jana Nayagan Trailer | Jana Nayagan Movie Trailer,Lollu Facts,2026-01-03T14:30:16Z,101072,3102,103,PT5M44S,24
P0DI5LZy9D8,CHOO CHOO CHARLES LIVE 🔴 | Sirf Ek Galti Aur GAME OVER 😱  | Hear is live #shortslive #shorts,Hear Is Live,2026-01-04T04:47:24Z,138409,3346,3,PT2H14M1S,20
neRiV_eE7mQ,Mega Victory Mass Lyrical Video | Chiranjeevi | Venkatesh | Anil Ravipudi | Bheems Ceciroleo | MSG,T-Series Telugu,2025-12-30T10:45:13Z,14150411,119309,4545,PT3M16S,10
97e19cE0HyY,Jana Nayagan Trailer Reaction & Review 🔥: Thalapathy Vijay | H. Vinoth | Anirudh | Enowaytion Plus,Enowaytion Plus,2026-01-03T14:39:52Z,77400,7239,437,PT7M49S,24
oTqJScP8qO0,SHINCHAN AND FRANKLIN TRIED THE IMPOSSIBLE GIANT BUMPY ROAD PARKOUR CHALLENGE GTA 5,Yippi Gaming,2026-01-03T04:15:03Z,133907,1710,37,PT17M43S,20
e41FFabIbv8,#video | कानपुर के पिस्तोल | Sanjay Yaduvanshi | Sanjay Sultanpuriya | Kanpur Ke Pistol,Shujay Music World,2026-01-03T00:30:42Z,127525,10348,883,PT2M50S,10
HQhldXQCFvk,Jana Nayagan Trailer Decoding🔥Inch by inch Comparison with Bhagavanth Kesari 😱 Vijay VS Balayya,Rednool,2026-01-03T14:25:11Z,75726,1211,202,PT9M20S,24
4gJoB-8NALI,Zee Media Arena of Champions | Group-Stage Day 2,Zee Media - Arena Of Champions,2026-01-03T17:04:47Z,345953,15022,151,PT4H59M31S,20
BHyymGNMDr4,#Video | #Raushan Rohi | काला धन | #Srishti Bharti | #Muskan KT | Kala Dhan | New Maghi Song 2026,Raushan Rohi Entertainment,2026-01-02T01:16:56Z,310933,13365,833,PT4M1S,10
YeUuLl0E004,Jananayagan trailer theatre response | jananayagan trailer audience response,எங்க ஊரு நெல்லை,2026-01-03T13:59:05Z,120059,4438,57,PT1M20S,24
