video_id,title,channel_title,published_at,view_count,like_count,comment_count,duration,category_id,engagement_rate
v7-6tStNSNA,BHA BHA BA - Azhinjattam Video Song  | Mohanlal | Dilieep | Shaan Rahman | MG Sreekumar | Vineeth,Sree Gokulam Movies,2026-01-02 12:31:33+00:00,348907,18299,1888,PT4M28S,1,0.057857824577896115
uufGMqEEdag,"Jana Nayagan Trailer, Partial Remake!!( REACTION!! )",GR STUDIOS,2026-01-03 14:39:47+00:00,123554,10796,344,PT20M47S,24,0.0901630056493517
bBu__V3ZqEI,AMONG US NIGHT WITH S8UL VALO LATER !insta,Snax Gaming,2026-01-03 19:30:14+00:00,252339,18618,33,PT4H30M25S,20,0.07391247488497617
9vJZ8mJyDbk,SR 9898 ASLAM SINGER ZAMIDAR ( कदकी रोरी तेरे लीपट के )  NEW MEWATI VIDEO SONG 2026 | DIGITAL MEWAT,Aslam Singer Zamidar,2026-01-01 04:00:07+00:00,773749,50297,3231,PT19M21S,10,0.06918005709861984
n00fIP08s_Q,JAISI KARNI WAISI BHARNI I जैसी करनी वैसी भरनी I OFFICIAL TRAILER I MANI BHATTACHARIYA I MEGHASHREE,B4U Bhojpuri,2026-01-03 02:31:00+00:00,445748,3805,56,PT4M22S,1,0.008661844809174691
vmxWwmWtkwc,Choo Choo Charles Ki SABSE Khatarnak Location 😱 Aaj Explore Karunga! #hindihorrorlive  #shortslive,Kumar Gaming ,2026-01-04 04:40:08+00:00,157506,1976,2,PT1H9M55S,20,0.012558251749139715
qmyzqOM-aDw,"शनिवार पूर्णिमा के दिन सुन्दरकाण्ड पाठ घर में चलाकर रख दो बीमारी खत्म, कर्ज खत्म, धनवर्षा शुरू #2026",Sundarkand Path,2026-01-02 22:00:55+00:00,112796,1031,139,PT1H1M20S,10,0.010372708252065677
1jqQzsytYFw,Krrish 4 Teaser 10 January - Yes or No | Deeksha Sharma,Filmi Indian,2026-01-03 08:49:01+00:00,318625,13923,633,PT3M49S,24,0.0456837975676736
iSciq2Kg-SY,Long Slide Game With Elephant Gorilla Buffalo Hippopotamus Tiger - 3d Animal Game - Funny 3d Animals,FunAnimationLive NumAnima,2026-01-03 11:23:53+00:00,495318,64459,1442,PT10M53S,24,0.13304786016256223
kqE8ROuGOr4,भीड़ में | Tumsa Nahin Dekha A Love Story | Shreya Ghoshal | Udit Narayan Songs | Dia Mirza,Retro Romance Songs,2025-12-29 13:01:29+00:00,81741,132,0,PT6M6S,22,0.0016148566814695195
ab-ngiHI7_g,Jana Nayagan Trailer Reaction | Thalapathy Vijay | Parbrahm Singh,Parbrahm Singh,2026-01-03 15:18:00+00:00,68719,6455,341,PT4M39S,24,0.0988955019717982
krGzXubLDSU,"Break 9,483,738 Bones to Win! 💀",Tyro Gaming,2026-01-01 14:28:00+00:00,1032928,7023,512,PT11M17S,20,0.00729479692679451
vWqrNyfKlbw,"Tuition Badmashi Kaa - Hemant Faujdar, Kiran, Masoom Sharma, Manisha Sharma, Ajay Dhankhar, AmanJaji",Hp Music Live,2025-12-31 12:54:00+00:00,607851,2521,56,PT4M36S,10,0.0042395258048436215
jmqO7yNMv5U,Jana Nayagan Official Trailer Reaction Thalapathy Vijay Pooja Mamitha Baiju | Entertainment Kizhi,Entertainment Kizhi,2026-01-03 14:02:43+00:00,69710,5258,659,PT10M10S,22,0.08488021804619136
TnIKftanQcM,"Blizzard Battlegrounds S1| Group Stage Day 2 |#GodLike,#IQOOSoul,#K9,#Og,#Gdr,#Tt,#4tr,#Madkings",GSG ESPORTS ,2026-01-03 15:26:51+00:00,428806,12206,26,PT5H30M8S,20,0.028525720255780002
VyqPGcQgtEE,शनिवार के दिन अपने घर में ये सुंदरकाण्ड पाठचलाकर रख देनासभी दुःख दर्द सभी परेशानी जड़ से खत्म,Shri Hanuman Chalisa Trending ,2026-01-02 22:30:19+00:00,123572,1158,150,PT52M30S,10,0.010584922150649014
8xrwSz2dnHk,Jana Nayagan - Tamil Trailer | Thalapathy vijay | H Vinoth | Jana Nayagan trailer review ,Tamil 360,2026-01-03 13:15:01+00:00,193152,7835,275,PT2M3S,24,0.04198765738899934
aKjUWU5YMpQ,Franklin Entered Inside Spiderman Head & Mouth In Indian Bike Driving 3d,HandsomeGamer,2026-01-03 01:30:50+00:00,218679,0,16,PT12M19S,22,7.316660493234376e-05
yymzn3w6Mdo,Psycho Saithan - Video Song | Mark | Kichcha Sudeepa | Vijay Kartikeyaa | Ajaneesh B Loknath,Saregama Kannada,2026-01-01 10:30:43+00:00,774369,20772,1283,PT3M3S,10,0.028481253769197887
HR34chdPHXw,Jana Nayagan - Trailer Review Tamil | Jana Nayagan Trailer | Jana Nayagan Movie Trailer,Lollu Facts,2026-01-03 14:30:16+00:00,101072,3102,103,PT5M44S,24,0.03171006807028653
P0DI5LZy9D8,CHOO CHOO CHARLES LIVE 🔴 | Sirf Ek Galti Aur GAME OVER 😱  | Hear is live #shortslive #shorts,Hear Is Live,2026-01-04 04:47:24+00:00,138409,3346,3,PT2H14M1S,20,0.02419640341307285
neRiV_eE7mQ,Mega Victory Mass Lyrical Video | Chiranjeevi | Venkatesh | Anil Ravipudi | Bheems Ceciroleo | MSG,T-Series Telugu,2025-12-30 10:45:13+00:00,14150411,119309,4545,PT3M16S,10,0.008752678632443962
97e19cE0HyY,Jana Nayagan Trailer Reaction & Review 🔥: Thalapathy Vijay | H. Vinoth | Anirudh | Enowaytion Plus,Enowaytion Plus,2026-01-03 14:39:52+00:00,77400,7239,437,PT7M49S,24,0.09917312661498708
oTqJScP8qO0,SHINCHAN AND FRANKLIN TRIED THE IMPOSSIBLE GIANT BUMPY ROAD PARKOUR CHALLENGE GTA 5,Yippi Gaming,2026-01-03 04:15:03+00:00,133907,1710,37,PT17M43S,20,0.013046368001672803
e41FFabIbv8,#video | कानपुर के पिस्तोल | Sanjay Yaduvanshi | Sanjay Sultanpuriya | Kanpur Ke Pistol,Shujay Music World,2026-01-03 00:30:42+00:00,127525,10348,883,PT2M50S,10,0.08806900607723976
HQhldXQCFvk,Jana Nayagan Trailer Decoding🔥Inch by inch Comparison with Bhagavanth Kesari 😱 Vijay VS Balayya,Rednool,2026-01-03 14:25:11+00:00,75726,1211,202,PT9M20S,24,0.01865937722842881
4gJoB-8NALI,Zee Media Arena of Champions | Group-Stage Day 2,Zee Media - Arena Of Champions,2026-01-03 17:04:47+00:00,345953,15022,151,PT4H59M31S,20,0.04385855882157403
BHyymGNMDr4,#Video | #Raushan Rohi | काला धन | #Srishti Bharti | #Muskan KT | Kala Dhan | New Maghi Song 2026,Raushan Rohi Entertainment,2026-01-02 01:16:56+00:00,310933,13365,833,PT4M1S,10,0.04566257039297855
YeUuLl0E004,Jananayagan trailer theatre response | jananayagan trailer audience response,எங்க ஊரு நெல்லை,2026-01-03 13:59:05+00:00,120059,4438,57,PT1M20S,24,0.037439925370026404
